,Claimfile,Density,TigrisXLfile,agrclaim,inbreiding,natureclaim,naturepolicymap,policyweightnature,pumping,recvalue,restrictionnatureweight,spreidingratio,valuenaturelocation
46,True,False,2,True,True,3,1,1,False,False,True,True,1
47,True,False,1,False,False,3,1,2,False,True,False,True,1
48,False,True,1,False,True,1,1,2,True,False,False,True,3
49,True,True,1,True,True,1,3,2,True,False,False,False,2
50,True,True,4,False,False,3,3,3,True,False,False,False,2
51,False,False,4,False,True,1,1,3,True,True,False,False,1
52,False,True,2,True,True,2,1,3,True,False,True,False,1
53,False,True,1,True,True,1,2,2,False,False,False,False,2
54,False,True,3,True,True,3,1,1,True,True,True,False,2
55,False,True,2,True,True,2,3,2,False,False,False,False,3
56,False,True,3,True,True,1,2,4,False,True,False,True,2
57,False,False,4,True,True,2,1,1,True,False,False,True,2
58,False,True,4,False,False,3,1,1,False,False,False,True,2
59,True,True,4,False,False,2,3,1,True,False,False,False,3
60,True,False,4,False,False,2,2,3,False,False,True,True,1
61,False,True,3,False,False,2,1,3,False,True,True,False,2
62,True,True,3,True,True,2,3,2,False,True,True,False,3
63,False,True,2,False,True,2,3,1,False,False,True,True,2
64,False,True,3,True,True,2,2,2,True,False,True,True,1
65,True,True,2,True,True,1,1,3,True,True,True,False,2
66,False,True,1,False,True,3,1,3,False,True,False,True,3
67,False,True,4,False,True,2,2,4,False,False,True,True,1
68,False,False,3,True,False,1,1,1,True,False,False,False,2
69,False,True,2,False,False,2,1,2,False,False,True,True,3
70,False,False,4,False,False,2,1,4,True,True,False,False,3
71,True,True,3,True,True,2,1,3,True,False,False,True,2
72,False,True,1,False,False,1,1,3,True,False,True,False,1
73,False,False,2,True,True,1,1,3,False,True,False,False,3
74,False,False,2,True,True,1,3,2,False,False,False,True,3
75,False,False,1,True,True,1,1,1,True,True,False,True,1
76,True,False,3,False,True,2,2,2,True,True,True,True,3
77,False,False,4,True,True,2,2,3,False,False,False,True,1
78,True,True,1,True,True,3,2,3,True,True,True,True,2
79,True,False,4,False,True,2,2,2,False,True,True,False,1
80,False,True,4,False,True,3,1,3,True,False,False,True,1
81,False,False,1,True,False,1,2,3,False,True,False,False,2
82,True,False,2,False,False,1,2,4,False,False,False,False,3
83,False,False,1,True,False,2,1,2,False,False,False,False,1
84,True,False,4,False,True,1,3,3,False,True,False,False,1
85,False,False,3,True,True,3,1,4,True,True,True,False,2
86,False,True,1,True,True,3,3,2,False,False,True,False,3
87,False,True,4,True,True,2,2,3,True,True,False,False,1
88,False,True,3,False,True,2,2,2,True,True,False,True,2
89,False,False,1,False,True,1,1,3,False,False,False,True,3
90,False,False,3,True,True,2,2,3,True,False,False,False,1
91,False,True,4,False,False,2,2,3,True,False,False,True,3
92,False,True,1,False,True,2,1,3,False,False,True,False,1
93,False,True,4,True,False,1,3,1,False,True,True,True,2
94,True,False,1,True,True,2,3,3,False,True,True,True,2
95,True,False,1,True,True,1,2,3,False,True,False,False,3
96,True,True,2,True,True,3,2,1,False,False,True,False,2
97,True,True,4,False,True,3,3,1,True,False,False,False,1
98,True,True,3,True,True,1,3,2,False,False,False,False,2
99,True,True,2,True,False,1,1,1,True,True,False,True,3
100,False,False,2,True,False,3,2,1,True,False,False,False,3
101,False,True,3,True,True,2,3,4,False,False,False,False,2
102,False,True,2,False,True,3,1,3,True,True,False,False,2
103,True,True,2,True,True,1,1,2,True,False,False,False,1
104,False,True,4,False,True,1,1,4,True,False,True,True,3
105,True,True,4,True,False,1,1,2,True,True,False,True,2
106,False,False,4,True,True,3,1,2,True,False,True,False,3
107,False,False,4,False,True,1,2,4,True,False,False,False,3
108,True,False,1,False,False,3,3,1,True,True,False,False,1
109,False,True,2,True,True,1,3,2,True,True,False,True,3
110,False,False,2,True,True,2,1,2,False,False,False,True,1
111,True,False,1,True,True,3,2,1,False,True,False,True,3
112,False,False,2,False,True,1,2,2,True,True,True,True,2
113,True,False,2,False,False,3,3,1,True,False,True,False,1
114,True,True,1,True,False,3,2,3,False,True,True,False,1
115,False,True,3,False,True,3,3,4,False,True,False,True,2
116,True,False,2,False,False,1,1,4,True,False,False,False,2
117,True,True,1,False,True,1,2,4,True,True,True,False,2
118,True,True,4,False,False,2,3,1,True,True,False,False,1
119,False,True,3,True,False,2,1,1,True,False,False,True,2
120,False,False,3,False,False,1,3,3,False,True,False,False,1
121,False,True,1,True,True,2,3,2,True,False,True,True,3
122,False,False,1,True,True,3,3,3,False,True,True,True,2
123,True,False,1,False,False,3,2,3,True,False,True,False,1
124,True,False,2,True,True,1,3,4,True,True,False,False,1
125,True,False,4,False,True,2,2,3,False,False,False,True,2
126,True,True,2,False,True,1,2,3,False,False,True,False,1
127,True,False,1,False,True,1,1,2,False,False,True,True,1
128,True,True,4,True,True,1,3,1,True,True,True,False,1
129,True,False,2,False,False,1,3,1,False,True,True,False,3
130,True,False,2,False,True,2,3,2,False,False,False,True,2
131,False,True,4,False,True,2,3,4,False,True,False,False,2
132,True,False,1,True,True,2,2,1,True,True,True,False,3
133,True,True,1,False,True,2,3,4,True,True,False,False,1
134,False,True,2,False,True,2,2,2,True,True,False,True,3
135,True,True,2,False,True,1,2,1,True,True,False,True,2
136,True,True,4,False,False,3,1,2,True,True,True,False,1
137,True,False,1,False,True,2,3,3,True,True,False,True,1
138,False,True,3,False,True,2,2,4,False,True,False,False,1
139,False,True,1,True,True,1,1,2,True,False,True,False,1
140,False,False,2,False,True,3,3,3,False,False,True,True,3
141,True,True,1,False,False,3,3,4,True,False,False,False,1
142,False,True,2,False,False,1,1,2,True,True,False,True,2
143,False,False,2,True,False,1,3,3,False,False,True,True,2
144,True,False,2,True,False,1,1,3,False,True,True,True,1
145,True,False,1,False,False,3,1,4,True,True,True,False,2
146,True,True,3,False,False,2,3,3,False,False,True,True,3
147,False,True,2,False,False,2,3,1,False,False,False,False,2
148,True,False,2,True,True,1,3,1,False,False,False,False,2
149,True,False,1,False,False,2,1,1,False,True,True,False,3
150,False,False,1,True,True,1,2,1,False,True,True,True,3
151,False,True,4,True,True,3,3,1,False,False,True,False,1
152,False,True,3,False,True,1,3,4,False,False,False,False,2
153,False,True,2,True,False,2,1,2,True,True,True,True,1
154,False,False,1,False,False,3,1,1,False,False,False,True,2
155,True,True,4,False,False,1,2,1,True,False,False,False,2
156,True,False,2,True,False,1,3,1,False,True,False,False,1
157,True,False,2,True,True,3,3,1,True,True,True,False,1
158,False,True,2,True,False,3,2,2,False,False,True,True,3
159,False,True,2,False,True,1,1,1,False,True,True,True,2
160,False,True,2,True,False,1,2,2,True,True,True,False,3
161,True,False,4,True,False,3,1,3,False,False,True,True,2
162,False,False,2,True,False,2,1,3,False,False,False,False,1
163,False,False,3,False,False,3,3,2,False,False,True,True,2
164,True,True,1,False,False,1,1,3,True,True,False,True,2
165,False,False,2,False,True,2,2,4,True,False,False,False,1
166,False,False,4,False,False,2,2,2,True,True,True,False,1
167,False,False,3,False,True,2,3,2,False,True,True,True,3
168,False,False,3,True,False,3,2,4,True,True,True,False,1
169,False,False,1,True,True,2,2,2,True,True,False,True,2
170,False,True,3,False,False,1,2,2,False,False,False,False,1
171,True,True,3,False,True,3,3,4,True,True,True,False,3
172,True,True,3,False,True,3,1,1,False,True,True,True,2
173,False,True,1,False,True,3,1,4,True,False,True,False,1
174,True,False,1,True,True,2,3,1,True,False,False,False,3
175,False,False,1,False,False,1,2,4,False,False,True,True,2
176,False,True,4,False,True,3,2,2,False,True,False,True,2
177,True,False,2,False,True,1,1,4,True,True,False,True,3
178,False,False,1,True,False,3,3,4,False,True,False,True,1
179,True,False,4,False,True,1,2,4,True,False,True,True,2
180,False,True,2,False,False,2,3,3,True,False,False,False,1
181,True,True,2,True,False,1,3,1,True,False,True,False,2
182,False,True,2,True,True,1,3,4,False,False,False,True,2
183,True,False,3,False,True,2,1,4,False,False,False,True,1
184,False,True,3,False,True,1,1,1,False,False,True,True,1
185,False,False,3,True,False,2,1,3,True,False,False,False,2
186,False,False,4,True,True,3,1,1,False,True,True,True,3
187,False,False,3,True,False,3,3,1,False,True,True,True,2
188,False,False,3,False,False,1,2,4,False,False,False,True,1
189,True,True,2,False,True,1,1,2,False,True,True,False,3
190,False,True,1,False,False,1,2,3,True,True,True,False,3
191,True,False,3,True,False,3,3,1,False,True,False,True,3
192,False,False,3,True,True,2,2,3,False,False,True,False,2
193,False,False,3,True,False,2,1,4,False,True,False,False,2
194,False,True,3,False,False,2,1,3,False,False,False,False,1
195,True,False,3,True,True,3,2,4,True,False,False,False,1
196,False,True,2,True,False,3,1,1,False,True,True,True,1
197,False,True,2,True,False,1,2,1,True,True,True,True,2
198,True,False,2,True,False,2,2,3,False,False,True,False,1
199,False,True,4,False,False,2,1,4,False,True,True,False,1
200,False,True,2,False,True,3,3,1,False,True,True,False,2
201,True,False,4,True,True,2,1,1,True,False,False,False,3
202,True,True,2,True,False,3,3,4,False,True,True,False,2
203,False,True,4,True,False,3,2,4,False,True,True,False,2
204,True,False,4,True,False,3,2,2,True,False,True,True,3
205,True,False,3,False,False,1,3,3,False,False,False,True,1
206,False,True,2,False,False,1,3,2,False,True,False,False,2
207,True,True,4,True,True,3,1,1,True,False,False,True,3
208,False,True,2,True,False,1,1,4,False,True,False,True,1
209,True,False,1,True,False,1,2,4,False,False,False,True,2
210,False,True,2,True,False,1,2,2,True,True,False,False,1
211,True,True,4,True,False,1,2,4,True,False,False,True,3
212,False,False,1,False,True,3,3,2,False,False,True,True,1
213,True,False,4,True,False,1,2,2,False,True,True,True,3
214,False,True,3,False,True,1,2,2,False,True,True,True,2
215,True,True,2,True,True,1,3,2,False,False,False,False,1
216,True,True,3,False,False,2,2,1,True,True,True,False,3
217,False,False,4,True,True,1,1,2,True,True,True,False,2
218,True,True,3,False,False,3,2,4,False,False,True,True,1
219,False,False,2,True,True,3,1,3,False,True,True,False,1
220,True,False,4,True,False,2,1,3,False,True,True,False,1
221,True,True,2,True,False,1,2,4,True,True,False,True,3
222,False,False,2,True,True,3,2,2,False,True,False,False,2
223,False,True,4,True,False,1,2,3,False,False,False,True,3
224,True,True,3,False,True,3,3,4,True,True,False,False,1
225,False,False,1,True,True,2,1,3,False,False,False,False,1
226,False,False,2,True,False,1,3,1,False,False,False,True,3
227,False,False,3,False,True,3,3,1,True,False,True,True,2
228,True,True,4,True,False,3,1,1,False,True,False,False,3
229,True,True,3,False,True,3,1,1,False,False,False,True,1
230,False,False,3,False,False,2,2,3,False,False,True,True,1
231,False,False,4,True,False,2,2,1,True,False,True,False,1
232,False,True,2,True,False,3,1,4,False,True,True,True,2
233,False,False,3,False,True,3,1,1,False,True,True,True,2
234,True,True,2,True,True,3,2,2,True,False,False,False,3
235,False,True,2,False,True,1,2,2,False,False,True,False,3
236,False,False,3,False,False,3,2,2,True,True,True,True,2
237,False,True,2,False,False,1,2,1,False,True,False,False,3
238,False,False,4,False,True,1,2,3,True,True,False,False,3
239,False,False,3,False,False,1,2,3,False,True,True,False,1
240,True,False,4,False,True,3,2,2,True,True,False,False,2
241,False,False,1,False,False,1,3,2,False,False,True,True,2
242,True,False,2,False,True,3,1,4,False,True,True,True,3
243,False,True,4,False,False,3,2,3,False,False,False,False,1
244,False,True,2,False,False,1,3,2,False,True,True,True,3
245,True,False,1,True,False,3,3,1,False,True,False,True,2
246,True,False,1,True,True,2,2,3,True,True,True,True,3
247,True,False,1,False,False,1,3,4,True,False,True,False,2
248,False,False,3,False,False,1,1,3,False,True,True,True,2
249,True,False,3,False,False,3,2,3,True,True,True,True,2
250,False,False,3,False,False,2,1,3,True,True,True,True,3
251,True,False,1,True,False,2,2,3,False,True,True,True,2
252,True,False,3,False,False,2,3,2,True,False,True,True,3
253,True,False,2,False,False,1,1,3,False,False,False,False,3
254,True,False,4,True,False,2,2,4,False,False,True,True,1
255,False,False,2,True,False,1,1,2,False,False,False,False,1
256,True,False,3,True,False,1,2,2,True,True,False,False,2
257,True,True,1,True,True,2,1,4,True,False,True,False,3
258,False,True,4,False,False,3,2,2,True,False,True,True,3
259,True,True,1,True,True,3,1,3,False,False,False,True,2
260,True,False,2,True,True,1,3,3,False,True,False,True,2
261,False,False,1,True,True,3,2,2,False,True,False,True,1
262,False,True,2,False,False,2,3,1,False,True,True,True,3
263,False,False,4,True,False,3,2,4,False,False,True,True,2
264,True,False,3,True,False,3,1,2,True,True,True,False,2
265,True,False,3,False,False,3,1,4,True,False,False,False,2
266,False,True,4,True,False,3,3,1,False,True,False,False,1
267,True,False,1,True,False,1,1,4,False,True,False,True,3
268,True,True,4,False,True,1,3,4,False,True,False,True,3
269,False,False,1,True,True,3,3,2,False,False,False,False,2
270,True,False,2,True,True,1,3,1,True,True,True,False,2
271,False,True,1,False,True,1,2,1,False,False,False,True,1
272,False,False,3,False,True,2,2,4,False,False,True,False,3
273,False,False,3,True,False,2,3,2,True,True,False,True,3
274,True,True,2,False,True,1,1,4,True,True,False,True,2
275,False,True,1,False,True,1,3,3,True,False,False,False,1
276,True,True,4,True,False,1,1,1,False,False,False,True,3
277,False,False,3,False,True,2,1,1,True,True,True,True,1
278,True,False,3,False,False,1,3,4,False,True,False,False,1
279,True,False,3,False,True,3,2,2,True,False,False,True,3
280,False,False,4,True,True,3,2,1,False,True,True,True,2
281,True,True,1,False,False,3,3,1,False,True,False,False,2
282,True,False,1,False,False,1,3,3,False,True,False,True,2
283,True,False,3,False,False,2,3,4,True,True,True,False,1
284,True,True,1,False,False,1,3,3,True,False,True,False,2
285,True,False,4,True,False,1,1,1,True,False,False,True,3
286,True,False,2,False,True,2,2,2,True,True,False,False,1
287,True,True,2,False,False,2,1,2,False,False,False,True,1
288,False,False,4,False,True,3,3,1,False,True,False,False,3
289,True,False,4,False,True,1,3,1,True,False,False,True,3
290,False,True,3,True,False,2,1,4,False,True,True,True,1
291,True,False,2,False,True,3,3,2,False,True,True,False,2
292,False,True,2,False,True,2,2,1,True,False,True,True,2
293,True,True,3,True,False,2,3,3,False,False,False,True,2
294,False,True,4,True,False,1,3,4,False,True,False,True,1
295,False,True,2,False,False,1,1,2,False,False,True,True,1
296,False,True,4,True,True,2,2,3,False,False,True,False,3
297,True,True,1,False,True,3,2,3,False,True,False,False,2
298,True,True,1,True,True,3,3,1,True,True,True,True,1
299,True,True,1,False,True,2,1,2,True,False,False,True,3
300,False,True,4,False,True,3,2,2,True,True,True,False,3
301,True,True,4,True,False,2,3,2,True,True,False,True,2
302,True,False,3,False,False,1,3,2,False,True,False,True,2
303,True,False,4,True,False,2,3,4,True,True,True,False,3
304,False,True,4,False,True,2,2,1,True,True,False,False,3
305,False,True,1,True,True,2,3,3,False,False,True,False,1
306,True,False,1,False,False,2,3,3,False,True,True,False,2
307,True,False,4,False,False,2,2,4,False,False,False,True,1
308,True,False,4,True,True,3,3,3,False,True,True,False,3
309,False,True,3,False,True,3,2,2,True,False,False,True,3
310,True,False,2,True,True,1,1,4,True,False,True,True,2
311,False,True,4,False,False,3,2,1,False,True,True,False,1
312,True,True,1,True,True,3,3,4,False,True,True,False,2
313,False,False,4,False,False,3,1,3,True,False,True,True,3
314,False,True,3,False,False,2,3,1,True,True,False,False,3
315,False,True,3,True,True,2,2,3,True,False,False,True,2
316,False,True,2,False,False,3,3,2,True,True,False,False,1
317,True,False,2,True,True,3,1,1,True,True,False,False,2
318,False,True,3,False,False,1,3,2,False,False,True,False,3
319,False,False,2,False,True,1,1,2,True,True,False,False,1
320,True,True,3,False,False,2,1,4,False,False,False,False,2
321,True,True,2,False,False,3,1,1,False,False,False,True,1
322,False,False,1,True,True,3,1,2,False,False,False,True,2
323,True,True,2,False,True,1,1,2,True,True,False,True,3
324,True,True,2,True,False,1,1,1,True,True,False,True,2
325,False,True,1,False,True,2,2,4,True,False,True,True,1
326,True,True,3,False,True,3,3,3,True,True,True,True,1
327,True,True,4,False,False,3,1,4,True,True,False,True,2
328,False,True,3,True,False,3,2,4,False,True,True,False,3
329,True,True,4,True,True,2,2,3,False,True,False,False,1
330,True,True,4,False,False,3,3,3,False,False,True,True,1
331,False,True,1,True,False,1,3,1,True,True,True,True,3
332,False,True,2,True,False,1,3,2,True,True,True,True,3
333,True,True,4,True,True,3,2,4,False,False,True,True,3
334,True,False,4,True,True,1,3,2,False,False,False,False,1
335,True,True,4,False,False,2,3,1,False,True,True,True,2
336,True,True,1,False,True,3,1,3,True,True,True,False,3
337,True,False,2,True,True,2,3,2,True,False,True,True,1
338,False,False,3,True,False,2,1,4,True,False,False,False,1
339,False,False,1,False,True,1,2,4,False,True,False,True,3
340,False,True,3,True,False,2,1,2,True,True,False,False,1
341,False,False,4,False,False,3,3,2,False,False,True,True,2
342,True,True,2,False,False,3,2,2,False,False,False,True,3
343,True,True,4,False,False,3,2,2,True,True,False,False,1
344,True,False,4,False,True,1,2,1,True,False,True,False,3
345,True,True,4,True,True,2,2,3,False,True,True,False,2
346,True,True,2,False,False,2,1,2,True,False,False,True,2
347,True,True,2,False,False,2,3,4,True,False,True,True,2
348,True,False,2,False,False,2,1,2,True,True,False,True,2
349,True,False,2,False,True,3,3,3,False,True,False,False,1
350,True,True,1,False,False,1,3,4,True,False,False,False,2
351,False,True,2,False,True,2,3,1,False,True,False,False,3
352,False,True,1,False,False,3,3,2,False,False,False,False,3
353,False,False,2,False,False,3,3,4,True,False,True,True,1
354,True,False,3,False,True,2,3,4,True,True,False,False,3
355,True,True,2,True,True,3,3,3,True,False,True,True,2
356,True,False,1,True,False,1,1,2,False,True,False,True,3
357,False,False,3,True,True,1,2,1,False,True,False,True,3
358,False,True,3,True,False,3,3,2,True,True,False,False,3
359,True,True,1,True,True,3,1,2,True,True,False,False,3
360,False,True,1,True,True,1,2,3,True,False,False,True,1
361,False,False,3,True,False,2,1,2,True,False,True,True,1
362,False,False,2,True,True,1,3,1,True,True,False,False,2
363,True,False,3,True,True,1,1,3,False,False,True,False,2
364,False,False,3,True,True,3,2,3,False,False,True,True,1
365,False,True,4,False,True,1,3,2,False,True,True,False,1
366,True,True,1,False,True,1,3,1,False,True,False,True,1
367,True,True,3,False,False,3,1,1,False,False,False,False,1
368,False,False,4,False,True,2,3,2,False,True,True,True,3
369,False,True,4,True,False,2,3,1,False,False,False,True,2
370,True,False,2,False,True,1,2,3,False,False,False,False,3
371,False,False,3,False,False,1,1,1,False,True,True,True,3
372,True,False,3,False,False,1,3,4,True,False,True,False,2
373,False,False,3,False,True,2,1,4,False,True,False,True,1
374,False,True,2,False,False,1,2,3,False,True,True,True,1
375,True,True,1,True,True,1,1,4,False,False,False,True,1
376,False,False,2,True,True,3,3,1,True,False,False,True,3
377,True,False,2,True,False,1,2,3,True,False,False,True,1
378,False,True,1,True,False,2,1,2,False,False,False,True,1
379,True,False,1,False,True,3,2,2,False,True,True,True,2
380,True,True,4,False,True,3,1,1,True,True,False,False,1
381,True,True,3,False,False,3,2,4,True,False,True,False,1
382,False,True,4,True,False,1,3,4,True,True,True,True,3
383,True,True,3,True,True,2,2,2,True,False,False,False,2
384,True,True,4,False,True,1,3,4,False,False,True,False,1
385,False,True,1,False,True,3,1,1,True,True,True,False,3
386,False,False,4,True,True,2,1,3,False,True,True,True,2
387,True,True,4,False,True,3,2,4,True,False,False,True,2
388,False,True,4,True,True,2,1,1,True,False,False,False,2
389,False,False,4,True,True,1,2,3,False,True,True,False,1
390,False,True,1,True,True,3,1,2,False,False,False,False,2
391,False,True,2,False,False,3,1,4,True,True,False,False,1
392,True,False,1,True,False,2,1,2,False,False,True,True,2
393,False,True,4,True,False,1,1,2,True,False,True,False,1
394,False,True,3,True,False,2,1,4,False,False,True,False,2
395,False,True,4,True,False,2,3,2,True,True,False,True,1
396,True,True,1,True,True,2,3,2,True,False,True,False,1
397,True,False,1,False,True,2,3,4,True,False,False,False,1
398,True,True,3,False,False,2,2,3,False,False,True,True,3
399,True,False,1,True,False,1,2,1,False,False,True,False,3
400,True,True,2,True,False,2,1,3,False,True,True,False,2
401,True,True,3,True,False,2,3,2,False,True,False,True,1
402,True,True,2,True,True,1,2,1,True,False,False,False,3
403,True,False,3,False,False,2,2,1,True,True,True,True,2
404,True,False,1,True,False,3,1,4,False,True,True,True,3
405,True,True,2,False,True,1,1,1,False,False,True,False,2
406,False,True,2,True,False,1,3,4,True,True,True,True,2
407,False,False,2,True,False,2,2,1,False,False,False,True,3
408,True,True,3,False,False,3,1,1,False,False,False,True,2
409,True,True,1,False,True,1,2,2,False,True,True,False,1
410,True,False,1,False,True,1,3,2,True,False,False,True,2
411,True,True,3,True,True,3,3,1,True,True,False,False,2
412,True,False,1,True,True,2,3,4,False,True,False,False,3
413,True,False,1,False,True,2,1,2,False,True,True,True,3
414,False,False,3,False,True,1,1,4,True,False,True,True,3
415,False,False,1,True,False,2,3,4,True,True,False,True,2
416,False,False,3,True,True,3,2,4,False,False,False,True,1
417,False,True,4,False,False,1,2,4,True,False,True,False,1
418,True,True,4,False,True,3,3,2,True,False,True,True,2
419,False,True,1,True,False,1,3,1,True,True,True,True,1
420,False,False,4,True,False,1,1,3,False,False,True,False,1
421,False,True,3,False,True,1,1,1,False,True,False,True,2
422,True,False,3,True,True,1,2,2,False,True,True,True,2
423,False,True,1,True,True,3,2,1,False,True,True,True,1
424,True,True,4,True,False,2,3,4,True,True,True,False,3
425,False,False,2,True,True,2,3,2,False,True,False,True,2
426,True,True,3,True,True,1,3,3,False,True,True,True,1
427,True,False,3,True,True,1,3,2,True,True,True,False,3
428,False,True,1,True,False,3,3,2,True,False,False,True,1
429,False,False,1,False,False,3,1,3,True,True,False,True,1
430,True,True,3,True,True,2,1,4,True,True,False,False,1
431,True,False,4,False,True,2,2,2,True,False,True,True,1
432,False,False,2,True,False,3,1,1,True,False,True,False,3
433,False,False,1,True,False,2,3,4,False,False,True,False,3
434,True,False,2,False,True,3,2,4,False,True,False,False,1
435,True,True,2,True,False,2,1,4,False,False,True,False,2
436,True,False,3,False,False,1,1,4,True,False,True,False,1
437,True,False,3,False,False,2,1,1,True,False,False,False,3
438,True,True,3,True,True,1,1,3,True,False,False,False,2
439,True,False,4,True,True,3,3,2,True,True,True,True,2
440,False,False,2,False,True,3,2,1,False,False,True,True,1
441,False,True,4,False,True,2,2,1,True,True,True,False,3
442,True,False,4,True,False,1,3,4,False,True,True,False,1
443,False,True,2,False,True,2,1,1,True,True,False,False,2
444,True,True,3,True,True,2,3,1,True,False,False,True,2
445,True,True,2,False,False,2,2,2,False,True,True,True,2
446,False,True,1,False,False,1,1,3,False,False,True,True,2
447,True,False,4,False,False,3,2,1,False,True,False,False,2
448,True,True,2,False,True,3,2,4,False,True,True,True,3
449,False,True,4,False,True,3,1,3,True,True,False,False,1
450,True,False,1,True,True,1,3,2,False,True,True,True,3
451,True,False,3,True,False,2,2,2,True,True,True,True,2
452,False,True,1,True,True,1,2,2,False,True,False,False,3
453,False,False,3,True,False,3,1,2,False,False,True,False,1
454,True,True,3,True,True,2,2,2,False,True,True,True,2
455,True,False,1,True,True,2,1,1,True,True,True,False,1
456,True,False,1,True,False,2,2,4,True,False,True,True,2
457,False,True,2,True,True,2,3,4,False,True,False,True,2
458,False,True,3,False,True,2,2,2,False,True,True,True,1
459,False,False,4,False,True,3,2,2,True,True,False,False,1
460,False,False,4,True,False,1,3,4,False,True,True,False,1
461,True,True,2,False,True,3,2,4,True,False,True,False,2
462,True,False,3,True,True,1,3,1,True,False,True,False,1
463,True,True,4,False,False,2,3,2,False,False,True,True,3
464,True,False,3,False,False,2,1,1,False,False,True,True,2
465,False,True,4,False,False,2,1,4,True,False,True,True,2
466,False,False,1,False,True,3,3,2,False,False,True,False,1
467,False,True,3,False,False,3,1,1,False,True,False,True,1
468,False,True,2,True,True,1,2,4,False,False,False,True,3
469,True,False,1,True,True,1,1,2,True,True,True,True,3
470,False,True,2,False,True,2,1,3,True,False,True,False,2
471,True,True,1,False,False,1,2,2,True,True,False,False,3
472,True,True,3,True,False,3,3,1,True,True,True,False,3
473,False,False,4,True,False,2,3,3,False,True,False,True,1
474,True,True,3,False,False,3,1,3,True,True,True,True,2
475,True,True,2,True,True,3,1,2,False,True,False,False,1
476,True,True,2,True,False,1,2,1,True,False,False,True,3
477,False,True,3,False,True,2,2,2,True,True,True,True,1
478,True,False,1,True,False,1,1,1,False,True,True,True,2
479,False,True,4,False,True,1,1,4,False,True,False,True,1
480,False,True,3,True,False,2,1,4,False,True,False,False,2
481,True,True,1,False,False,2,2,3,False,False,True,False,1
482,True,False,1,False,False,3,2,2,True,True,False,True,1
483,False,False,2,False,False,1,1,3,False,True,True,False,3
484,True,False,2,True,False,1,1,4,True,False,False,False,2
485,False,True,3,True,False,2,3,4,True,True,True,False,1
486,False,False,4,True,True,3,3,4,True,True,True,True,3
487,True,False,4,True,False,3,1,4,False,False,False,False,1
488,True,True,3,False,False,2,3,4,True,False,True,False,2
489,True,True,1,False,False,2,2,3,True,False,True,True,3
490,True,True,3,True,True,2,3,4,False,True,True,True,3
491,False,False,3,True,True,3,3,4,True,False,True,True,2
492,True,False,1,False,True,1,2,3,True,True,True,False,3
